127.0.0.1 - - [20/Jul/2020:09:28:11 +0200] "GET / HTTP/1.1" 404 681
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:21 +0200] "POST /Projet_cave/index.xhtml;jsessionid=DA34DD535081FAA1CCE8D6230CFCB9CC HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:21 +0200] "GET /Projet_cave/show_single_bottle.xhtml HTTP/1.1" 200 25366
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:21 +0200] "GET /Projet_cave/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:21 +0200] "GET /Projet_cave/javax.faces.resource/style_perso.css.xhtml?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:21 +0200] "GET /Projet_cave/javax.faces.resource/css/default/core.css.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:21 +0200] "GET /Projet_cave/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:21 +0200] "GET /Projet_cave/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:21 +0200] "GET /Projet_cave/javax.faces.resource/jsf.js.xhtml?ln=javax.faces&stage=Development HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:21 +0200] "GET /Projet_cave/javax.faces.resource/js/image-loader.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:21 +0200] "GET /Projet_cave/javax.faces.resource/js/tooltip.js.xhtml?ln=bsf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2020:09:28:21 +0200] "GET /Projet_cave/javax.faces.resource/js/dropdown.js.xhtml?ln=bsf HTTP/1.1" 304 -
